position;company;location;posted_date;no_applicants;date_collected;type_workplace;required_skills;competitive_advantages;level;worktype;description;link_application;link_linkedin;company_name;company_size;company_sector
Data Scientist Intern (End of studies);{'name': 'Shift Technology', 'size': '201-500 funcionários', 'sector': 'Serviços e consultoria de TI'};São Paulo, São Paulo, Brasil;2023-06-03 07:20:53.916560;77 candidaturas;2023-06-06 07:20:53.933355;;;;Estágio;Tempo integral;"Sobre a vaga
Did you know that about 10% of all insurance payouts are flowing directly into the pockets of fraudsters? The future of insurance starts with Decisions Made Better.

Shift Technology harnesses the power of AI to enable the world’s leading insurance organizations to make better decisions. Our products automate and optimize decisions from underwriting to claims, resulting in increased operational efficiency, reduced costs, and superior customer experiences for millions of people around the globe.

Our culture is built on innovation, trust, and a drive to transform the insurance industry by imagining and innovating solutions that impact insurers and their customers - like you! We come from more than 40 different countries and cultures and together we are creating the future of insurance.

The Data Science team works on a broad range of subjects. We actively participate in the definition and development of our suite of products on fraud detection, anti-money laundering and claim automation. We have a lot of technical and professional experience in data science, data engineering, coding, business understanding and client interactions. Additionally, we also work on various data types such as structured data, free text, documents and images.

Please note that to be eligible for this job YOU should be currently enrolled to a São Paulo (Capital) University AND be already on the last year of your studies.

What You’ll Do…

As a member of the data science team, and working alongside our technical experts, you will be able to:

Understand insurance data and fraud mechanisms;
Create the associated mathematical models;
Implement, test and optimize the associated algorithms;
Participate in workshops with the clients to gather feedback and integrate it into the models;
Continuously provide ideas to improve the solution.

What You Bring...

You are native in Portuguese and fluent in English (mandatory)
You have advanced technical skills in Applied Mathematics, preferably in machine learning and/or operations research;
You combine strong analysis with synthesis abilities and are not afraid to deal with the details;
You can write quality production code;
You are keen to face our clients to discuss their needs and integrate their feedback into your projects;
You can communicate clearly in English and are fluent in another language.

RECRUITER TAG

To support our employees at every stage of their careers and lives, we are always assessing the benefits we offer to ensure we are competitive. Here are some we’d like to highlight:

Flexible remote and hybrid working options
Competitive Salary and a variable component tied to personal and company performance
Company equity
Generous PTO and paid holidays
Parental leave opportunities
Extensive mental health benefits provided via our global Employee Assistance Program
Paid volunteering time - 16 hours annually

We offer many benefits in various countries - ask your recruiter for more information.

At Shift we strive to be a diverse and inclusive workforce. We hire and trust people without regard to race, color, religion, marital status, age, national or ethnic origin, physical or mental disability, medical condition, pregnancy, genetic information, gender identity or expression, sexual orientation, or other non-merit criteria.

Shift Technology is committed to providing reasonable accommodations for qualified individuals with disabilities in our application and employment process. Should you require accommodation, please email accommodation@shift-technology.com and we will work with you to meet your accessibility needs.

Shift Technology does not accept unsolicited CVs from recruiters or employment agencies in response to the Shift Technology Careers page or a Shift Technology social media post. Any unsolicited CVs, including those submitted directly to hiring managers, are deemed to be the property of Shift Technology.";https://www.shift-technology.com/careers?gh_jid=5633159003;https://www.linkedin.com/jobs/view/3625194030/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=Ei528UZfjI1hiqc1pUioZQ%3D%3D&trk=d_flagship3_search_srp_jobs;Shift Technology;201-500 funcionários;Serviços e consultoria de TI
Arquiteto de Dados Pleno/Junior;{'name': 'Foursys', 'size': '1.001-5.000 funcionários', 'sector': 'Serviços e consultoria de TI'};São Paulo, São Paulo, Brasil;2023-05-23 07:21:13.430012;;2023-06-06 07:21:13.438858;Híbrido;['Banco de dados', 'SQL', 'Análise de requisitos', 'Arquitetura de dados', 'Bancos de dados relacionais', 'Documentação', 'Ferramentas de modelagem', 'Instrução', 'Microsoft SQL Server', 'Modelagem de dados'];;Júnior;Tempo integral;"Sobre a vaga
A Foursys nasceu em 2000 com o propósito de revolucionar o mercado de TI e promover soluções inovadoras. Atendemos grandes clientes nacionais e internacionais através de nossos escritórios no Brasil e nos Estados Unidos.

• Somos GPTW pelo segundo ano consecutivo
• Estamos sempre abertos a novas ideias e promovemos um ambiente de inclusão, diversidade e respeito.

• E temos também o Clube da Four que oferece ótimas vantagens! 👇

🩺 Assistência médica;
🍲 VR e VA flexível;
🏋️ Gympass e Wellz;
⚽ Parceria com o SESC;
🍣 Descontos em restaurantes;
📚 Descontos em cursos técnicos e de ensinos superior;
🧠 Descontos em escolas e plataformas de idiomas

Que tal se juntar a nós e se tornar um(a) #FourTalent?

Então se liga nessa oportunidade incrível: 👇

Descrição da vaga: Arquiteto de Dados Pleno/Junior

Local de trabalho: Híbrido

Responsabilidades e Atribuições

Realizar a coleta e análise de requisitos de negócios para compreender as necessidades de dados da empresa.
Criar documentação e modelagem dos bancos de dados já existentes.
Planejar e implementar soluções de integração de dados
Trabalhar em colaboração com os demais profissionais de dados
Garantir que a arquitetura de dados seja segura, escalável e esteja em conformidade com as políticas e regulamentações de privacidade de dados.


Conhecimento Técnico

Domínio com a linguagem SQL para bancos de dados relacionais (Sql Server e Oracle).
Experiência com ferramentas de Modelagem de Dados.
Habilidade para o entendimento de desenhos de arquitetura e criação de documentação.
Diferencial Power Designer.

Formação Acadêmica

Superior completo.


Aceita o desafio?
Então conclua sua inscrição e #VemSerFoursys!
Boa sorte! 🍀";https://www.linkedin.com/jobs/view/3606677232/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=mBIDQjXd%2B0pcTfNoBUyOYQ%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3606677232/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=mBIDQjXd%2B0pcTfNoBUyOYQ%3D%3D&trk=d_flagship3_search_srp_jobs;Foursys;1.001-5.000 funcionários;Serviços e consultoria de TI
Digital Analyst;{'name': 'Tetra Pak', 'size': '+ de 10.001 funcionários', 'sector': 'Embalagens e recipientes'};Monte Mor, São Paulo, Brasil;2023-05-30 07:21:16.231503;31 candidaturas;2023-06-06 07:21:16.254618;Híbrido;['Banco de dados', 'CSS', 'Comunicação', 'MySQL', 'SQL', 'Análise de causa raiz (RCA)', 'Contas-chave', 'Gestão de problemas', 'HTML5', 'Internet das Coisas'];;;Tempo integral;"Sobre a vaga
Job description:

Job Summary
We are looking for a Digital Analyst who will provide overall expertise, technology know-how, support, and consultancy for industrial digital systems including MES/MOM applications, ERP integrations, business applications, and system infrastructure enablers. Primarily involved in the deployment of industrial digital service solutions and in operational support to manage solution lifecycle, handling escalated problems, and driving activities and services to secure solution performance over time (configuration, optimization, documentation)
You can be based in Monte Mor or São Paulo.
You will be travelling 75 % of your time to our customer sites
Tetra Pak is not sponsoring work visas or relocation for this position.

What you will do
As a Digital Specialist you will:

Service MES/MOM applications with specific automation competence (PLC/HMI, Database management, object-oriented languages, etc.)
Service solutions, business applications, and software in the upper part of the Internet of Things stack.
Provide troubleshooting and root cause analysis with aid of prevailing problem-solving methodologies.
Use the Quality and Technical Issue Management ( QTIM )process, and provide Technical Documentation and reporting including QuTI-P. 24/7 remote support.
Support Order Fulfilment Capital Equipment ( OFCE ) with Automation Specific expertise during pre-project and installation of Capital Equipment.
Build service system infrastructure with specific competence (Servers specification and configuration, networking, virtualization, connectivity and Database administration)
Support automation upgrades business being an active part in the development and deployment of kits.
Train customers & Market Companies’ staff in key technologies, when relevant. Mentor other service engineers when necessary
Maintain a good knowledge and understanding of existing Automation and Digital portfolio, support Key Account/sales teams in pursuing business opportunities
Build and maintain technical network in Americas and global level, across different Automation and Digital organizations.


Profile description:

We believe you have

Good experience in designing digital solutions.
University degree in Engineering, Technology Science, Computer Science or related field.
Advanced or Fluent English proficiency is mandatory
Intermediate Spanish proficiency is desirable.
Must have experience in HTML5, CSS, Javascript, Web Services and APIs Development, Cloud, and Databases (SQL and MySQL)
Good knowledge at Agile methodology
Good to have experience in C#, MVC 5, Entity Framework
Demonstrate good technical skills.
Good knowledge of customer commissioning and service operations on site.
Good autonomy in activity organization.
Contribute to developing necessary standards, guidelines, tools, and methods for Industrial Digital systems design.
Understanding of service portfolio, proficient in communication and stakeholder management.
Team player and results-oriented.
Innovation and continuous improvement mindset.


We offer:

We Offer You

A variety of exciting challenges with ample opportunities for development and training in a truly global landscape
A culture that pioneers a spirit of innovation where our industry experts drive visible results
An equal opportunity employment experience that values diversity and inclusion
Market competitive compensation and benefits with flexible working arrangements
Apply Now

If you are inspired to be part of our promise to protect what’s good; for food, people, and the planet, apply through our careers page at https://jobs.tetrapak.com/.

This job posting expires on May 26,2023.";https://jobs.tetrapak.com/job/Monte-Mor-Digital-Analyst-S%C3%A3o/935281301/?utm_campaign=LinkedinJobPostings&utm_source=LinkedinJobPostings&applySourceOverride=LinkedIn;https://www.linkedin.com/jobs/view/3614333152/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=%2B7J%2FGulqulfa4aDe%2B0hzHw%3D%3D&trk=d_flagship3_search_srp_jobs;Tetra Pak;+ de 10.001 funcionários;Embalagens e recipientes
Data Intern;{'name': 'RINA', 'size': '5.001-10.000 funcionários', 'sector': 'Segurança pública'};Rio de Janeiro, Rio de Janeiro, Brasil;2023-06-03 07:21:33.639988;;2023-06-06 07:21:33.651934;Híbrido;['Desenvolvimento de projetos'];;Estágio;Estágio;"Sobre a vaga
RINA is currently recruiting for a Data Intern to join its office in Rio de Janeiro, RJ within the Division.

Mission

Se você é proativo, criativo e gosta de desafios, este é o lugar certo para você trabalhar!

O RINA Brasil está procurando um Estagiário de Dados, para dar apoio a área de projetos e suporte a equipe.

Job Responsibilities

Manuseio e compilação de informações em planilhas diversas;
Manipulação de bases de dados (SQL);
Modelagem de dados com Python;
Analisar a performance dos projetos através de Indicadores de desempenho (KPIs);
Realizar extração e transformação de dados (ETL);
Criar e atualizar relatórios e dashboards para suportar a tomada de decisão e definição de plano de ação para todo departamento;
Apoiar os projetos de Engenharia, envolvendo melhorias de tecnologia e/ou processos;
Atuar com scripts de análises de Engenharia.

Requisitos:

Graduação em andamento em Ciências da Computação, Sistemas de Informação, Administração, Estatística ou afins;
Conhecimento em Python intermediário será um diferencial;
Conhecimento em Power BI básico será um diferencial;
Conhecimentos em Excel Avançado será um diferencial;
Inglês avançado;
Disponibilidade para trabalhar 6 horas por dia e 30 horas por semana no período manhã ou tarde; (das 9h às 15h ou 12h às 18h);
Boa comunicação verbal e escrita;
Bom relacionamento com equipe;
Interesse em aprender e colaborar.

With over 5,000 employees and 200 offices in 70 countries worldwide, RINA is a multinational player which provides certification, marine classification, product testing, site supervision and vendor inspection, training and engineering consultancy services across a wide range of sectors. Our business model covers the full process of project development, from concept to completion. The aim is to guarantee a project’s technical, environmental and safety - and sometimes also economic and financial - sustainability.

At RINA, we endeavor to create a work environment where every single person is valued and encouraged to develop new ideas. We provide equal employment opportunities and are committed to creating a workplace where everyone feels respected and safe from discrimination or harassment of any kind.";https://careers.rina.org/job/Rio-De-Janeiro-Data-Intern-20_011-000/941959955/?utm_source=linkedin;https://www.linkedin.com/jobs/view/3605727932/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=KZXcy%2Bk49jy11cGPrKAPYw%3D%3D&trk=d_flagship3_search_srp_jobs;RINA;5.001-10.000 funcionários;Segurança pública
Analista de Dados JR (Business Intelligence Analyst) - Indaiatuba;{'name': 'John Deere', 'size': '+ de 10.001 funcionários', 'sector': 'Fabricação de maquinário'};Indaiatuba, São Paulo, Brasil;2023-06-01 07:21:41.709932;;2023-06-06 07:21:41.718245;Presencial;['Análise de dados', 'Banco de dados', 'SQL', 'Trabalho em equipe', 'Ciência de dados', 'Habilidades analíticas', 'Inteligência de negócios (BI)', 'Mineração de dados', 'Pesquisa', 'Relatório'];;Pleno-sênior;Tempo integral;"Sobre a vaga
Reconhecemos e valorizamos a pluralidade dos nossos times. Por isso, criamos condições para a equidade de oportunidades através de políticas, práticas e atitudes que promovam uma cultura de respeito e o desenvolvimento de talentos.

Buscamos cada vez mais diversidade de gênero, etnias, religiões, LGBTQIA+, deficiências, culturas e histórias para impulsionar a inovação em nosso DNA.

E estamos sempre à procura de mentes inovadoras que possam contribuir com a nossa missão. Que tal fazer parte do nosso time?

Local Principal: Brazil (BR) - São Paulo - Indaiatuba

Função: Serviços Financeiros

Título: Analista de Dados JR (Business Intelligence Analyst) - Indaiatuba - 99136

Como Analista de Dados JR (Business Intelligence Analyst) na John Deere, locado em Indaiatuba- SP, você será responsável por:

Trabalhar em conjunto com o time de Operações, vislumbrando identificar e implementar oportunidades de melhoria contínua e automação, com o intuito de fornecer uma experiência mais ágil, simples e com qualidade aos times internos e clientes;
Fornecer informações e relatórios à gestão para apoiar no gerenciamento e tomada de decisão,
Avaliar riscos operacionais e pontos frágeis de nossos processos, identificando oportunidades e implementando mitigantes através de controles/ atividades automatizados(as).

Requisitos

Exigidos:

Graduação completa ou em andamento (conclusão em 2024), nas áreas de TI, Analista de dados, Ciência de dados, Administração, Engenharias, e afins;
Inglês intermediário (lê e redige e-mails com autonomia, atende ligações telefônicas pouco complexas e participa de reuniões);
Experiência com ferramentas de visualização: tableau e Power BI;
Conhecimentos de SQL, Python e/ou R;
Experiência com RPAs - ""Robotic Process Automation"" (Power Automate, Phyton, UiPath, Automation Anywhere e/ou Kryon).

Desejáveis

Conhecimentos e/ou experiência com Github;
Conhecimentos e/ou experiência com Databricks;
Inglês avançado (possui vocabulário amplo, boa gramática, conduz reuniões, argumenta, negocia e ministra treinamentos).

O Que Você Receberá

Na John Deere, você conseguirá desenvolver uma carreira que levará você aonde quer chegar. Além de produzirmos máquinas conectadas e inteligentes, com a mais alta qualidade, criamos soluções e serviços que garantam que nossos clientes possam gerir seus negócios de forma sustentável e produtiva. Com conexões tecnológicas, sociais e humanas, você terá liberdade de explorar novos projetos e pensar de forma inovadora.";https://jobs.deere.com/eightfold/job/Analista-de-Dados-JR-%28Business-Intelligence-Analyst%29-Indaiatuba/1034619500/?utm_source=LINKEDIN&utm_medium=referrer;https://www.linkedin.com/jobs/view/3623553226/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=liAcZtvZ1gOSeW89Jwr1Pg%3D%3D&trk=d_flagship3_search_srp_jobs;John Deere;+ de 10.001 funcionários;Fabricação de maquinário
ANALISTA DA QUALIDADE JR - PIRACICABA/SP;{'name': 'SGS', 'size': '+ de 10.001 funcionários', 'sector': 'Comércio e desenvolvimento internacional'};Piracicaba, São Paulo, Brasil;2023-05-30 07:21:52.847425;;2023-06-06 07:21:52.852421;Presencial;['Bens de consumo', 'Documentação', 'Estatística', 'Habilidades analíticas', 'ISO 17025', 'ISO 9001', 'Metrologia', 'Prestação de serviços', 'Setor público', 'Visão estratégica'];;Júnior;Tempo integral;"Sobre a vaga
Descrição da empresa

000 Colaboradores Atuando Em Diferentes Negócios

A SGS é líder mundial em Inspeção, Verificação, Testes e Certificação, somos reconhecidos como referência mundial em qualidade e integridade. Com mais de 93.000 colaboradores espalhados em todo o mundo, operamos uma rede de aproximadamente 2.600 escritórios e laboratórios. No Brasil somos mais de 3.
Bens de consumo e varejo
Certificação
Ciências biológicas
Comércio
Construção
Energia
Manufatura industrial
Meio Ambiente
Mineração
Petróleo e gás
Produtos Agrícolas e Alimentos
Produtos químicos
Saúde e segurança
Serviços de treinamentos
Setor público
Sustentabilidade
Transporte
Se você tem como valores: Paixão, Integridade, Espírito Empreendedor e Inovação, o seu lugar é aqui!

Venha contribuir com o nosso propósito ""Criar um mundo melhor, mais seguro e interconectado"".

Somos comprometidos com a inclusão social e defensores da diversidade. Por isso, nossas oportunidades são iguais para todos os talentos, levando em conta os pilares da diversidade e inclusão: gênero, cultura e origens, pessoas com deficiência, orientação sexual, gerações, etc.

Descrição da vaga

Atuação em laboratório com as normas ISO/IEC 17025 e ISO 9001.
Manter atualizados os documentos controlados;
Registrar, Monitorar e prover folow up adequado no andamento das Oportunidades de Melhoria;
Controlar e Manter as atividades de calibração e verificação de equipamentos de medição, inspeção e ensaios;
Treinamento e desenvolvimento às competências das equipes;
Visão estratégica para adequações de infraestrutura e meio ambiente que possam ser prejudiciais à realização dos serviços;
Monitoramento dos controles dos processos aplicados à prestação de serviços;
Gerenciar os processos de mudanças que ocorram dentro das operações onde presta apoio;
Coordenar atividades de Auditorias Interna;
Atuar junto aos organismos de Acreditação de de sistemas da Qualidade.
Qualificações
Imprescindível: Conhecimento com Gestão da Qualidade e ISO 17025.
Formação Técnica ou Superior na área Química;
Pacote Office Intermediário;
Desejável conhecimento em estatística e Metrologia;
Desejável experiência com Auditoria Interna (17025, SGI...);
Desejável conhecimentos em ferramentas de metodologia.
Informações adicionais
Morar em PIRACICABA/SP.
IMPORTANTE: Sua candidatura apenas será analisada se atender a todos os pré-requisitos acima, inclusive local de trabalho. Portanto, fique atento.";https://jobs.smartrecruiters.com/SGS/743999905821448-analista-da-qualidade-jr-piracicaba-sp?Type=LinkedIn;https://www.linkedin.com/jobs/view/3601086093/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=4gDaUsUyKA3prj%2F21aRtQg%3D%3D&trk=d_flagship3_search_srp_jobs;SGS;+ de 10.001 funcionários;Comércio e desenvolvimento internacional
Data Scientist;{'name': 'IFF', 'size': '+ de 10.001 funcionários', 'sector': 'Fabricação de produtos químicos'};São Paulo e Região;2023-05-30 07:22:01.723697;184 candidaturas;2023-06-06 07:22:01.743678;Híbrido;['Algoritmos', 'Python', 'SQL', 'Engenharia', 'Engenharia química', 'Habilidades analíticas', 'Indústria manufatureira', 'Resolução de problemas', 'STEM (Ciência, Matemática, Engenharia e Tecnologia)', 'Tomada de decisão'];;Pleno-sênior;Tempo integral;"Sobre a vaga
Create the change that everyone wants a taste of. Make a difference at IFF.

If you haven’t heard of IFF before (treasures are truly hard to find), it’s time to get excited. Welcome to the world’s best-kept secret and scent.

At IFF, we apply science and creativity for a better world, push past traditional boundaries and towards a more sustainable future. We are on a mission to co-create sensorial experiences that delight and go beyond the expectations of consumers everywhere.

While we have grown over the years, we remain agile in our approach and put our customers’ needs at the forefront of our thinking. We are an international collective of thinkers represented at over 110 manufacturing sites and 100 R&D centres globally.

You will have the opportunity to join IFF at a very unique moment in time (as we spearhead our digital transformation) and impact our business directly by the work you do.

How You’ll Leave Your Mark

As a Data Scientist, you will be part of our cross-functional digital team. You’ll support the team by implementing scalable and sustainable solutions for our business problems. Based on your scientific and statistical expertise, these will not only influence your base office but will expand to our global IFF network as well.

What Your Work Will Taste Like – You Will…

Solve challenging, large-scale problems by applying advanced statistical analyses and machine-learning techniques
Drive crucial prediction models based on large data sets from our sites
Shape automated decision making by integrating your own models and algorithms into our business processes
Advise our manufacturing sites by analyzing and optimizing modelling features
Support your team to communicate complex solutions and models in an easily understandable way

How You’ll Spice Up Our Results – You…

Have scientific expertise in chemical engineering or STEM equivalent (BSc, MSc, PhD)
Mastered your analytical and problem-solving skills during the last 5+ years
Are experienced in working with large data sets, SQL, Python, and R
Are flexible and open for agile working in a constantly evolving environment
Break down complex problems easily and make them understandable to anyone else

Why working at IFF will be the cherry on the cake of your career
We cherish your individuality. Our diversity, equity, and inclusion programs prove every day that different backgrounds and attitudes are the key factors to our success.

We know your worth. An attractive and competitive payment is a must to show you our appreciation.

We value your personal workstyle. We trust you. Whether you work remotely or on site, do what’s best for you and shape your work the way it fits into your life.

We trust your creativity. We support out-of-the-box thinking without hierarchies. On our teams, it’s the best idea that wins, not the one from the highest up.

We want you to thrive. Our IFF university will meet all your needs for personal development and growth. Because now is only the beginning.

We care about you. With our health insurance and pension plans we make sure that your well-being is secure – professionally and privately.

We are a global leader in taste, scent and nutrition, offering our customers a broader range of natural solutions and accelerating our growth strategy. At IFF, we believe that your uniqueness unleashes our potential. We value the diverse mosaic of the ethnicity, national origin, race, age, sex or veteran status. We strive for an inclusive workplace that allows each of our colleagues to bring their authentic self to work regardless of their religion, gender identity & expression, sexual orientation, or disability.



Visit IFF.com/careers/workplace-diversity-and-inclusion to learn more.";https://www.linkedin.com/jobs/view/3616713748/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=yo4bTBXEkf3SiffkZO%2BkKQ%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3616713748/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=yo4bTBXEkf3SiffkZO%2BkKQ%3D%3D&trk=d_flagship3_search_srp_jobs;IFF;+ de 10.001 funcionários;Fabricação de produtos químicos
Cientista de dados;{'name': 'Empresa Confidencial', 'size': '51-200 funcionários', 'sector': 'Tecnologia, Informação e Internet'};São Paulo, Brasil;2023-05-31 07:22:04.739378;126 candidaturas;2023-06-06 07:22:04.759255;Híbrido;;;Pleno-sênior;Tempo integral;"Sobre a vaga
O candidato deve apresentar as seguintes características:

Experiência prática em desenvolvimento de modelos de algoritmos de Machine Learning (classificação, cluster, supervisionado e não supervisionado, aprendizado por esforço).
Conhecimentos avançados e experiência prática em linguagens de programação, como Python, para coletar, organizar, limpar e transformar dados.
Conhecimento avançados e experiência prática em banco de dados SQL e suas integrações com outras aplicações.
Conhecimentos avançados em métodos de análise e interpretação de dados através de estudos estatísticos, probabilidades de eventos, teste de hipóteses etc.
Desejável conhecimento em plataformas Oracle e seus módulos de BI, como o EBS, OAS e ODV.
Habilidade de comunicação em diferentes níveis da organização a fim de mostrar resultados de forma clara e concisa.
Ser proativo e buscar constantemente atualização no mercado em temas de análises e aplicações com dados, machine learning etc.
Desejável conhecimento de desenvolvimento de projetos com metodologias ágeis.
Inglês e espanhol, mínimo nível intermediário, sendo capaz de comunicar-se e entender os projetos e seus resultados sem auxílio de terceiros.
Mínimo de 3 anos de experiência em projetos de análise de dados e/ou machine learning.";https://www.linkedin.com/jobs/view/3620636881/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=Z1WSRiQ7MABXaWAUqLKSWQ%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3620636881/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=Z1WSRiQ7MABXaWAUqLKSWQ%3D%3D&trk=d_flagship3_search_srp_jobs;Empresa Confidencial;51-200 funcionários;Tecnologia, Informação e Internet
Analista de Controladoria JR;{'name': 'WMcCann', 'size': '501-1.000 funcionários', 'sector': 'Serviços de publicidade'};São Paulo, São Paulo, Brasil;2023-05-23 07:22:16.734027;;2023-06-06 07:22:16.746169;Híbrido;['Microsoft Excel', 'Contabilidade', 'Desenvolvimento de relatório', 'Expenditure Control', 'Faturamento', 'Funções de controladoria', 'Impostos', 'Inglês', 'Relatório', 'Sistema SAP'];;Pleno-sênior;Tempo integral;"Sobre a vaga
VENHA FAZER PARTE DO TIME WMCCANN!


A WMcCann faz parte do McCann Worldgroup, da Holding Interpublic. E, o que isso significa? Que temos a força de um grupo global que foi eleito a rede mais criativa e eficiente do mundo!

Além disso, também figuramos no ranking do CENP-MEIOS como a agência de publicidade nº 1 no Brasil, pelo segundo ano consecutivo, o que certamente aumenta a nossa responsabilidade.
Aqui, nós combinamos talento com dados, tecnologia e criatividade para cumprir a missão de ajudar as marcas dos nossos clientes a ganharem um papel significativo na vida das pessoas, levando assim a um aumento nos resultados de negócio.
Na WMcCann, nosso melhor resultado sempre será o resultado dos nossos clientes.
E procuramos profissionais que queiram reafirmar esse compromisso para formar o nosso time.
Ainda seguimos na busca de um mercado mais diverso e plural em todas as instâncias, e por isso firmamos o nosso compromisso com a inclusão e a diversidade.

Responsabilidades e atribuições:
- Elaboração de relatórios gerencias e contábeis, como Aging List´s, Dashboard´s.
- Provisão contábeis, como provisão de Receitas e Despesas;
- Revisão e pagamento dos reembolsos despesas e viagens dos funcionários;
- Revisão e acompanhamento contas contábeis de balanço;
- Suporte ao time contábil e fiscal (CSC) assuntos gerais e fechamentos mensais;
- Participar de projetos para otimização de processos e controles;
- Criação de Pedidos de Despesa;
- Faturamento Intercompany e Controle de despesas com Intercompanys;
- Suporte atendimento auditoria interna e externa.

Qualificação:
- Graduação: Ciências Contábeis, Administração, Gestão Empresarial ou Financeira.
- Excel Avançado;
- Experiência anterior com sistema SAP será um diferencial;
- Inglês intermediário será um diferencial;
- Perfil: Comunicativo, Proativo, Analítico.";https://www.linkedin.com/jobs/view/3607052841/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=t5%2Fks5piBglapb4C2gP%2F%2Bg%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3607052841/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=t5%2Fks5piBglapb4C2gP%2F%2Bg%3D%3D&trk=d_flagship3_search_srp_jobs;WMcCann;501-1.000 funcionários;Serviços de publicidade
Jr Data Engineer (DBT);{'name': 'WEX', 'size': '5.001-10.000 funcionários', 'sector': 'Desenvolvimento de software'};Brasil;2023-06-03 07:22:19.687372;79 candidaturas;2023-06-06 07:22:19.709706;Remoto;['Conceitos de programação', 'Estratégias de otimização', 'Modelagem de dados', 'Modelos de dados', 'Otimização', 'Otimização de consulta', 'Programação de linguagem de consulta', 'Resolução de problemas', 'Snowflake', 'Snowflake Cloud'];;Pleno-sênior;Tempo integral;"Sobre a vaga
About Us

WEX is a global leader in financial technology solutions, based in Portland, Maine, United States, with over 6,000 WEXers distributed in over 40 countries. We simplify the complexities of payment systems across continents and industries like Fleet, Corporate Payments, and Benefits. We look to manage employee benefits, streamline how companies pay and get paid by suppliers, save on fuel costs, or modernize how companies manage their fleet, WEX solutions reduce the administrative burdens.


You Will Be Expected To

Have exceptional analytical and problem-solving skills
Are self motivated and able to work independently with minimum supervision.
Have experience writing modern data pipelines deployed in the cloud.
Have worked on agile teams to deliver software iteratively.

We Are Looking For a Professional Who Has

Good understanding of dbt to perform data transformation tasks
Good understanding of data design principles and dimensional data modeling
Good SQL skills and understanding of query optimization strategies in Snowflake
Good understanding of basic programming concepts (in Python or similar modern languages)
Analytics Engineer developing complex data models using dbt, macros, and Jinja.

It would be great, if you had already had the opportunity to work with:

Can show us one or more passion projects or open-source work you have contributed to in your own time.
Have experience with AWS, Airflow, Docker, Qlik Replicate, or Fivetran.

If you are looking for a growing career – come be part of WEX today!";https://wexinc.wd5.myworkdayjobs.com/WEXInc/job/Brazil---Remote/Data-Engineer-1_R11218-1;https://www.linkedin.com/jobs/view/3625852568/?alternateChannel=search&refId=BiL1pC%2FyvyObi77gQiWLlg%3D%3D&trackingId=UiIU%2B92VHOhIcMzYspO8hg%3D%3D&trk=d_flagship3_search_srp_jobs;WEX;5.001-10.000 funcionários;Desenvolvimento de software
